geo_id,name,median_rent,median_income,total_renters,pct_burdened,tract,county,rent_to_income
1400000US17031040202,Census Tract 402.02; Cook County; Illinois,1477.0,67832.0,1719,58.3,402.02,Cook County,26.1
1400000US17031040300,Census Tract 403; Cook County; Illinois,1603.0,78879.0,395,28.9,403,Cook County,24.4
1400000US17031040401,Census Tract 404.01; Cook County; Illinois,1913.0,108899.0,712,29.9,404.01,Cook County,21.1
1400000US17031040402,Census Tract 404.02; Cook County; Illinois,1729.0,99201.0,1890,32.3,404.02,Cook County,20.9
1400000US17031040600,Census Tract 406; Cook County; Illinois,1747.0,89091.0,684,44.2,406,Cook County,23.5
1400000US17031040700,Census Tract 407; Cook County; Illinois,1763.0,105365.0,1008,31.6,407,Cook County,20.1
1400000US17031040800,Census Tract 408; Cook County; Illinois,1559.0,114397.0,480,25.0,408,Cook County,16.4
1400000US17031040900,Census Tract 409; Cook County; Illinois,1342.0,86359.0,720,52.6,409,Cook County,18.6
1400000US17031050100,Census Tract 501; Cook County; Illinois,1730.0,116438.0,618,28.6,501,Cook County,17.8
1400000US17031050200,Census Tract 502; Cook County; Illinois,1706.0,133708.0,831,43.2,502,Cook County,15.3
1400000US17031050300,Census Tract 503; Cook County; Illinois,1645.0,151630.0,495,20.2,503,Cook County,13.0
1400000US17031050500,Census Tract 505; Cook County; Illinois,1852.0,141563.0,880,34.1,505,Cook County,15.7
1400000US17031050600,Census Tract 506; Cook County; Illinois,1980.0,137083.0,592,18.6,506,Cook County,17.3
1400000US17031050700,Census Tract 507; Cook County; Illinois,1925.0,135653.0,360,12.5,507,Cook County,17.0
1400000US17031050800,Census Tract 508; Cook County; Illinois,2370.0,190469.0,206,29.6,508,Cook County,14.9
1400000US17031050900,Census Tract 509; Cook County; Illinois,1750.0,132258.0,437,25.9,509,Cook County,15.9
1400000US17031051000,Census Tract 510; Cook County; Illinois,1866.0,186458.0,216,14.8,510,Cook County,12.0
1400000US17031051100,Census Tract 511; Cook County; Illinois,1610.0,161900.0,326,20.2,511,Cook County,11.9
1400000US17031051200,Census Tract 512; Cook County; Illinois,2050.0,176571.0,340,31.8,512,Cook County,13.9
1400000US17031051300,Census Tract 513; Cook County; Illinois,1932.0,147386.0,246,29.7,513,Cook County,15.7
1400000US17031051400,Census Tract 514; Cook County; Illinois,2118.0,167194.0,428,42.8,514,Cook County,15.2
1400000US17031060100,Census Tract 601; Cook County; Illinois,1728.0,157917.0,456,33.8,601,Cook County,13.1
1400000US17031060200,Census Tract 602; Cook County; Illinois,1519.0,85417.0,744,36.7,602,Cook County,21.3
1400000US17031060300,Census Tract 603; Cook County; Illinois,1860.0,173125.0,706,16.4,603,Cook County,12.9
1400000US17031060400,Census Tract 604; Cook County; Illinois,1991.0,153625.0,850,22.8,604,Cook County,15.6
1400000US17031060800,Census Tract 608; Cook County; Illinois,1979.0,90174.0,1976,37.2,608,Cook County,26.3
1400000US17031060900,Census Tract 609; Cook County; Illinois,1543.0,79016.0,2445,39.3,609,Cook County,23.4
1400000US17031061000,Census Tract 610; Cook County; Illinois,2211.0,121332.0,826,35.8,610,Cook County,21.9
1400000US17031061100,Census Tract 611; Cook County; Illinois,1950.0,117330.0,504,31.9,611,Cook County,19.9
1400000US17031061200,Census Tract 612; Cook County; Illinois,2071.0,122857.0,522,33.5,612,Cook County,20.2
1400000US17031061500,Census Tract 615; Cook County; Illinois,1909.0,128958.0,511,18.6,615,Cook County,17.8
1400000US17031061800,Census Tract 618; Cook County; Illinois,1642.0,85139.0,603,47.9,618,Cook County,23.1
1400000US17031061901,Census Tract 619.01; Cook County; Illinois,1583.0,73769.0,2151,51.5,619.01,Cook County,25.8
1400000US17031061902,Census Tract 619.02; Cook County; Illinois,1970.0,95705.0,2016,41.6,619.02,Cook County,24.7
1400000US17031062000,Census Tract 620; Cook County; Illinois,1822.0,121375.0,1444,35.0,620,Cook County,18.0
1400000US17031062100,Census Tract 621; Cook County; Illinois,2058.0,103462.0,1610,46.1,621,Cook County,23.9
1400000US17031062200,Census Tract 622; Cook County; Illinois,2392.0,197159.0,629,32.4,622,Cook County,14.6
1400000US17031062400,Census Tract 624; Cook County; Illinois,2012.0,152361.0,373,50.7,624,Cook County,15.8
1400000US17031062500,Census Tract 625; Cook County; Illinois,1946.0,203333.0,238,31.9,625,Cook County,11.5
1400000US17031062600,Census Tract 626; Cook County; Illinois,2067.0,210536.0,281,44.1,626,Cook County,11.8
1400000US17031062700,Census Tract 627; Cook County; Illinois,2174.0,146979.0,800,42.0,627,Cook County,17.7
1400000US17031062800,Census Tract 628; Cook County; Illinois,2198.0,190139.0,888,16.6,628,Cook County,13.9
1400000US17031062900,Census Tract 629; Cook County; Illinois,2217.0,169906.0,1055,22.6,629,Cook County,15.7
1400000US17031063000,Census Tract 630; Cook County; Illinois,1935.0,102040.0,1288,34.2,630,Cook County,22.8
1400000US17031063100,Census Tract 631; Cook County; Illinois,1618.0,94948.0,1049,27.8,631,Cook County,20.4
1400000US17031063200,Census Tract 632; Cook County; Illinois,1777.0,79782.0,3129,48.5,632,Cook County,26.7
1400000US17031063301,Census Tract 633.01; Cook County; Illinois,1630.0,66901.0,1802,47.3,633.01,Cook County,29.2
1400000US17031063302,Census Tract 633.02; Cook County; Illinois,1766.0,98219.0,2122,36.9,633.02,Cook County,21.6
1400000US17031063303,Census Tract 633.03; Cook County; Illinois,2401.0,107639.0,427,53.4,633.03,Cook County,26.8
1400000US17031063400,Census Tract 634; Cook County; Illinois,1644.0,86979.0,1048,32.0,634,Cook County,22.7
1400000US17031070101,Census Tract 701.01; Cook County; Illinois,1622.0,83614.0,1641,37.2,701.01,Cook County,23.3
1400000US17031070102,Census Tract 701.02; Cook County; Illinois,1497.0,110577.0,1168,21.7,701.02,Cook County,16.2
1400000US17031070103,Census Tract 701.03; Cook County; Illinois,1663.0,73581.0,1078,45.2,701.03,Cook County,27.1
1400000US17031070200,Census Tract 702; Cook County; Illinois,1927.0,109000.0,1503,40.5,702,Cook County,21.2
1400000US17031070300,Census Tract 703; Cook County; Illinois,2696.0,156898.0,1033,42.7,703,Cook County,20.6
1400000US17031070400,Census Tract 704; Cook County; Illinois,2136.0,192955.0,842,51.9,704,Cook County,13.3
1400000US17031070500,Census Tract 705; Cook County; Illinois,2013.0,207076.0,616,51.8,705,Cook County,11.7
1400000US17031070600,Census Tract 706; Cook County; Illinois,3433.0,249531.0,494,24.3,706,Cook County,16.5
1400000US17031070700,Census Tract 707; Cook County; Illinois,2117.0,143955.0,885,40.9,707,Cook County,17.6
1400000US17031071000,Census Tract 710; Cook County; Illinois,2026.0,179438.0,478,32.2,710,Cook County,13.5
1400000US17031071100,Census Tract 711; Cook County; Illinois,2817.0,204609.0,612,33.5,711,Cook County,16.5
1400000US17031071200,Census Tract 712; Cook County; Illinois,2336.0,131383.0,989,43.0,712,Cook County,21.3
1400000US17031071300,Census Tract 713; Cook County; Illinois,2051.0,129486.0,904,25.8,713,Cook County,19.0
1400000US17031071400,Census Tract 714; Cook County; Illinois,1862.0,113581.0,1482,50.3,714,Cook County,19.7
1400000US17031071500,Census Tract 715; Cook County; Illinois,2146.0,119024.0,2472,24.9,715,Cook County,21.6
1400000US17031071600,Census Tract 716; Cook County; Illinois,2742.0,204375.0,245,41.2,716,Cook County,16.1
1400000US17031071700,Census Tract 717; Cook County; Illinois,2974.0,202500.0,301,35.5,717,Cook County,17.6
1400000US17031071800,Census Tract 718; Cook County; Illinois,3131.0,241228.0,500,16.4,718,Cook County,15.6
1400000US17031080100,Census Tract 801; Cook County; Illinois,2175.0,105000.0,2100,40.6,801,Cook County,24.9
1400000US17031080201,Census Tract 802.01; Cook County; Illinois,2064.0,120409.0,858,19.8,802.01,Cook County,20.6
1400000US17031080202,Census Tract 802.02; Cook County; Illinois,1930.0,106071.0,1781,46.7,802.02,Cook County,21.8
1400000US17031080300,Census Tract 803; Cook County; Illinois,2588.0,151830.0,2120,33.3,803,Cook County,20.5
1400000US17031080400,Census Tract 804; Cook County; Illinois,673.0,68270.0,1307,45.0,804,Cook County,11.8
1400000US17031081000,Census Tract 810; Cook County; Illinois,1791.0,79465.0,4863,42.2,810,Cook County,27.0
1400000US17031081100,Census Tract 811; Cook County; Illinois,1933.0,79561.0,2390,45.9,811,Cook County,29.2
